siteid,year,month,temperature_mean,temperature_max,temperature_min,precipitation_sum,wind_speed,wind_gusts,cloud_cover,frost_days,cooling_degree_days,heat_index,sunny_days,pud,aud,eud,nud,rud,has_rud_data,log_pud,log_aud,log_eud,log_rud,rud_x_available,year_centered,year_x_log_pud,year_x_log_aud,year_x_log_eud,monthly_visits_digital,mobility_sources_active,has_camping,has_hiking,has_hiking_1,has_hiking_2,has_fishing,has_boating,has_boating_1,has_boating_2,has_boating_3,has_hunting,has_wildlife_viewing,has_wildlife_viewing_1,has_biking,has_biking_1,has_climbing,has_swimming,has_picnic,has_skiing,has_skiing_1,total_activities,unique_activities,total_facilities,unique_facilities,activity_alpha,activity_beta,activity_gamma,has_water_activities,has_land_activities,name,own_type,mang_name,gap_sts,iucn_cat,featclas,des_tp,pub_acce,is_usfs,is_nps,is_blm,is_fws,is_state,is_federal,own_federal,own_state,own_local,own_private,access_open,access_restricted,access_closed,gap_status,highly_protected,area_km2,log_area_km2,sqrt_area_km2,dist_to_denver_km,trail_density_mean,access_mean,grass_pct_mean,shrub_pct_mean,tree_pct_mean,water_km2,river_km,trail_km,elev_mean,peak_dens_mean,road_density_mean,primroad_dist_mean,month_sin,month_cos,is_winter,is_spring,is_summer,is_fall,is_peak_season,log_water_km2,log_river_km,log_trail_km,log_facilities,log_activities,log_dist_to_denver,water_fraction,facility_density,elev_x_month_sin,elev_x_month_cos,elev_x_is_peak,elev_x_is_winter,dist_x_is_peak,dist_x_month_sin,dist_x_month_cos,log_area_x_is_peak,log_area_x_month_sin,log_area_x_is_winter,trails_x_is_peak,trails_x_month_sin,has_water_x_is_peak,has_water_x_month_sin,has_camping_x_is_peak,has_camping_x_month_sin,elev_x_temp,elev_x_frost,elev_x_precip,dist_x_precip,dist_x_temp,dist_x_wind,water_x_temp,water_x_cooling_dd,tree_x_temp,access_x_precip,access_x_frost,area_x_temp,log_pud_x_elev,log_pud_x_dist,log_pud_x_trails,log_pud_x_area,log_pud_x_access,log_pud_x_tree,log_pud_x_water,log_pud_x_activities,log_pud_x_road_density,log_aud_x_elev,log_aud_x_dist,log_aud_x_trails,log_aud_x_area,log_aud_x_access,log_aud_x_tree,log_aud_x_water,log_aud_x_activities,log_aud_x_road_density,log_eud_x_elev,log_eud_x_dist,log_eud_x_trails,log_eud_x_area,log_eud_x_access,log_eud_x_tree,log_eud_x_water,log_eud_x_activities,log_eud_x_road_density,log_rud_x_elev,log_rud_x_dist,log_rud_x_trails,log_rud_x_area,log_rud_x_access,log_rud_x_tree,log_rud_x_water,log_rud_x_activities,log_rud_x_road_density,log_pud_x_is_usfs,log_pud_x_is_nps,log_pud_x_is_blm,log_aud_x_is_usfs,log_aud_x_is_nps,log_aud_x_is_blm,log_eud_x_is_usfs,log_eud_x_is_nps,log_eud_x_is_blm,log_rud_x_is_usfs,log_rud_x_is_nps,log_rud_x_is_blm,log_pud_x_precip,log_pud_x_frost,log_pud_x_temp,log_aud_x_precip,log_aud_x_frost,log_aud_x_temp,log_eud_x_precip,log_eud_x_frost,log_eud_x_temp,log_rud_x_precip,log_rud_x_frost,log_rud_x_temp,log_pud_x_own_federal,log_aud_x_own_federal,log_eud_x_own_federal,log_rud_x_own_federal,log_pud_x_access_open,log_pud_x_access_restricted,log_pud_x_access_closed,log_aud_x_access_open,log_aud_x_access_restricted,log_aud_x_access_closed,log_eud_x_access_open,log_eud_x_access_restricted,log_eud_x_access_closed,log_rud_x_access_open,log_rud_x_access_restricted,log_rud_x_access_closed,is_blm_x_month_sin,is_blm_x_month_cos,is_blm_x_is_peak,is_blm_x_is_winter,is_nps_x_month_sin,is_nps_x_month_cos,is_nps_x_is_peak,is_nps_x_is_winter,is_usfs_x_month_sin,is_usfs_x_month_cos,is_usfs_x_is_peak,is_usfs_x_is_winter,is_usfs_x_elev,is_usfs_x_area,is_usfs_x_dist,is_usfs_x_trails,is_usfs_x_temp,is_nps_x_elev,is_nps_x_area,is_nps_x_dist,is_nps_x_trails,is_nps_x_temp,is_blm_x_elev,is_blm_x_area,is_blm_x_dist,is_blm_x_trails,is_blm_x_temp,access_open_x_is_peak,access_open_x_is_winter,access_restricted_x_is_peak,access_restricted_x_is_winter,protected_x_is_peak,protected_x_dist,protected_x_elev,gap_x_area,gap_x_trails,own_federal_x_log_pud,own_federal_x_log_aud,own_federal_x_log_eud,own_federal_x_log_rud,precip_ytd,precip_3mo,frost_days_ytd,frost_3mo_sum,cooling_dd_ytd,temp_3mo_mean,precip_ytd_x_elev,frost_ytd_x_elev,mobility_diversity
1,2020,1,3.638709677,10.40322581,-2.083870968,5,26.3516129,41.93225806,38.22580645,22,0,24.54193548,23,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,0.5,0.866025404,1,0,0,0,0,0,0,0,0,0,5.742271325,0,0,709.8076923,1229.422987,0,1419.615385,0,155.3858712,269.1362236,0,0.646346889,1.292693779,0,0,0,0,0,0,5165.568238,31231.53846,7098.076923,1553.858712,1130.808146,8189.336655,0,0,0,490,2156,4.703737363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.7717423,1419.615385,2.585387558,0,0,0,0,0,5,5,22,22,0,3.638709677,7098.076923,31231.53846,0
1,2020,2,2.055172414,8.793103448,-3.734482759,22.1,25.84827586,42.13448276,53.62068966,24,0,26.07241379,20,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,0.866025404,0.5,1,0,0,0,0,0,0,0,0,0,5.742271325,0,0,1229.422987,709.8076923,0,1419.615385,0,269.1362236,155.3858712,0,1.119505652,1.292693779,0,0,0,0,0,0,2917.554377,34070.76923,31373.5,6868.055505,638.6895118,8032.913726,0,0,0,2165.8,2352,2.656708594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.7717423,1419.615385,2.585387558,0,0,0,0,0,27.1,27.1,46,46,0,2.846941046,38471.57692,65302.30769,0
1,2020,3,10.4483871,18.15806452,2.958064516,7.8,34.18064516,55.87096774,40.61290323,4,0,30.73870968,28,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,1,6.12E-17,0,1,0,0,0,0,0,0,0,0,5.742271325,0,0,1419.615385,8.69E-14,0,0,0,310.7717423,1.90E-14,0,1.292693779,0,0,0,0,0,0,0,14832.69107,5678.461538,11073,2424.01959,3247.063463,10622.37865,0,0,0,764.4,392,13.506565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.7717423,1419.615385,2.585387558,0,0,0,0,0,34.9,34.9,50,50,0,5.380756396,49544.57692,70980.76923,0
1,2020,4,12.55,19.84666667,5.056666667,11,29.67,49.30333333,37.5,9,0.296666667,29.2,29,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,0.866025404,-0.5,0,1,0,0,0,0,0,0,0,0,5.742271325,0,0,1229.422987,-709.8076923,0,0,0,269.1362236,-155.3858712,0,1.119505652,0,0,0,0,0,0,0,17816.17308,12776.53846,15615.76923,3418.489166,3900.185366,9220.597595,0,0,0,1078,882,16.22330693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.7717423,1419.615385,2.585387558,0,0,0,0,0,45.9,40.9,59,37,0.296666667,8.351186504,65160.34615,83757.30769,0
1,2020,5,19.4,26.87419355,11.79354839,16.6,34.26129032,55.73548387,40.38709677,0,2.64516129,39.30322581,30,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,0.5,-0.866025404,0,1,0,0,0,0,0,0,0,0,5.742271325,0,0,709.8076923,-1229.422987,0,0,0,155.3858712,-269.1362236,0,0.646346889,0,0,0,0,0,0,0,27540.53846,0,23565.61538,5158.810923,6028.971801,10647.44089,0,0,0,1626.8,0,25.07825931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.7717423,1419.615385,2.585387558,0,0,0,0,0,62.5,35.4,59,13,2.941827957,14.1327957,88725.96154,83757.30769,0
1,2020,6,25.71666667,32.36666667,18.52333333,24.4,35.28666667,58.85333333,34.43333333,0,7.92,41.43333333,28,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,1.22E-16,-1,0,0,1,0,1,0,0,0,0,0,5.742271325,0,0,1.74E-13,-1419.615385,1419.615385,0,310.7717423,3.81E-14,-310.7717423,1.292693779,1.58E-16,0,0,0,0,0,0,0,36507.77564,0,34638.61538,7582.830513,7992.013307,10966.09888,0,0,0,2391.2,0,33.24377501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.7717423,1419.615385,2.585387558,0,0,0,0,0,86.9,52,59,9,10.86182796,19.22222222,123364.5769,83757.30769,0
1,2020,7,26.99032258,33.61612903,20.27419355,32.6,29.09354839,48.81612903,36.09677419,0,8.990322581,47.90967742,31,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,-0.5,-0.866025404,0,0,1,0,1,0,0,0,0,0,5.742271325,0,0,-709.8076923,-1229.422987,1419.615385,0,310.7717423,-155.3858712,-269.1362236,1.292693779,-0.646346889,0,0,0,0,0,0,0,38315.87717,0,46279.46154,10131.1588,8387.829574,9041.452723,0,0,0,3194.8,0,34.89022209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.7717423,1419.615385,2.585387558,0,0,0,0,0,119.5,73.6,59,0,19.85215054,24.03566308,169644.0385,83757.30769,0
1,2020,8,27.51935484,34.58387097,19.96451613,22,30.47096774,52,25.41935484,0,9.519354839,44.13225806,31,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,-0.866025404,-0.5,0,0,1,0,1,0,0,0,0,0,5.742271325,0,0,-1229.422987,-709.8076923,1419.615385,0,310.7717423,-269.1362236,-155.3858712,1.292693779,-1.119505652,0,0,0,0,0,0,0,39066.8995,0,31231.53846,6836.978331,8552.237851,9469.515736,0,0,0,2156,0,35.5740988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.7717423,1419.615385,2.585387558,0,0,0,0,0,141.5,79,59,0,29.37150538,26.7421147,200875.5769,83757.30769,0
1,2020,9,20.47,27.70333333,13.18666667,22.4,27.46666667,43.82,18.8,0,4.203333333,38.53666667,27,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,-1,-1.84E-16,0,0,0,1,0,0,0,0,0,0,5.742271325,0,0,-1419.615385,-2.61E-13,0,0,0,-310.7717423,-5.71E-14,0,-1.292693779,0,0,0,0,0,0,0,29059.52692,0,31799.38462,6961.287028,6361.497565,8535.863856,0,0,0,2195.2,0,26.46144165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.7717423,1419.615385,2.585387558,0,0,0,0,0,163.9,77,59,0,33.57483871,24.99322581,232674.9615,83757.30769,0
1,2020,10,12.97741935,20.97096774,5.190322581,14.5,26.95806452,42.20645161,32.58064516,7,1.064516129,31.47741935,26,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,104,PVT,PVT,2,V: Protected landscape / seascape,Easement,Conservation Easement,CLOSED,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.642585672,1.292693779,1.625603172,310.7717423,0,98,54,6,0,0,0,0,1419.615385,3.023943901,0,0.87469129,-0.866025404,0.5,0,0,0,1,0,0,0,0,0,0,5.742271325,0,0,-1229.422987,709.8076923,0,0,0,-269.1362236,155.3858712,0,-1.119505652,0,0,0,0,0,0,0,18422.94417,9937.307692,20584.42308,4506.190264,4033.015224,8377.80468,0,0,0,1421,686,16.77582927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.7717423,1419.615385,2.585387558,0,0,0,0,0,178.4,58.9,66,7,34.63935484,20.32225806,253259.3846,93694.61538,0
