state,siteid,recreation_status,county_name
CA,Wf_101C,high_recreation,Alpine
CA,Wf_132C,high_recreation,Alpine
CA,Wf_13C,high_recreation,Alpine
CA,Wf_141T,high_recreation,Alpine
CA,Wf_46T,high_recreation,Alpine
CA,Wf_64T,high_recreation,Alpine
CA,Wf_71C,high_recreation,Alpine
CA,Rx_7T,high_recreation,Amador
CA,Wf_51C,high_recreation,Amador
CA,Rx_2C,non_recreation,Butte
CA,Wf_0T,non_recreation,Butte
CA,Rx_8C,high_recreation,Calaveras
CA,Wf_139C,high_recreation,Calaveras
CA,Wf_148T,high_recreation,Calaveras
CA,Wf_48T,high_recreation,Calaveras
CA,Rx_21T,non_recreation,Del Norte
CA,Wf_32T,non_recreation,Del Norte
CA,Wf_69T,non_recreation,Del Norte
CA,Wf_74T,non_recreation,Del Norte
CA,Wf_83T,non_recreation,Del Norte
CA,Wf_24T,high_recreation,El Dorado
CA,Wf_53T,high_recreation,El Dorado
CA,Rx_14T,non_recreation,Fresno
CA,Rx_15T,non_recreation,Fresno
CA,Wf_103C,non_recreation,Fresno
CA,Wf_105C,non_recreation,Fresno
CA,Wf_106C,non_recreation,Fresno
CA,Wf_116C,non_recreation,Fresno
CA,Wf_123C,non_recreation,Fresno
CA,Wf_127C,non_recreation,Fresno
CA,Wf_23C,non_recreation,Fresno
CA,Wf_23T,non_recreation,Fresno
CA,Wf_2C,non_recreation,Fresno
CA,Wf_33T,non_recreation,Fresno
CA,Wf_4C,non_recreation,Fresno
CA,Wf_52C,non_recreation,Fresno
CA,Wf_53C,non_recreation,Fresno
CA,Wf_66T,non_recreation,Fresno
CA,Wf_82C,non_recreation,Fresno
CA,Wf_89T,non_recreation,Fresno
CA,Rx_19C,non_recreation,Humboldt
CA,Rx_29T,non_recreation,Humboldt
CA,Rx_34T,non_recreation,Humboldt
CA,Wf_107T,non_recreation,Humboldt
CA,Wf_118T,non_recreation,Humboldt
CA,Wf_1T,non_recreation,Humboldt
CA,Wf_26T,non_recreation,Humboldt
CA,Wf_6T,non_recreation,Humboldt
CA,Wf_72C,non_recreation,Humboldt
CA,Wf_75T,non_recreation,Humboldt
CA,Wf_80T,non_recreation,Humboldt
CA,Wf_94C,non_recreation,Humboldt
CA,Wf_30T,non_recreation,Imperial
CA,Wf_70C,non_recreation,Imperial
CA,Wf_140C,high_recreation,Inyo
CA,Wf_26C,high_recreation,Inyo
CA,Wf_2T,high_recreation,Inyo
CA,Wf_31T,high_recreation,Inyo
CA,Wf_35C,high_recreation,Inyo
CA,Wf_61C,high_recreation,Inyo
CA,Wf_62C,high_recreation,Inyo
CA,Wf_73T,high_recreation,Inyo
CA,Wf_80C,high_recreation,Inyo
CA,Wf_9C,high_recreation,Inyo
CA,Rx_39C,non_recreation,Kern
CA,Rx_4C,non_recreation,Kern
CA,Wf_102T,non_recreation,Kern
CA,Wf_105T,non_recreation,Kern
CA,Wf_108C,non_recreation,Kern
CA,Wf_115C,non_recreation,Kern
CA,Wf_126C,non_recreation,Kern
CA,Wf_128T,non_recreation,Kern
CA,Wf_137T,non_recreation,Kern
CA,Wf_14T,non_recreation,Kern
CA,Wf_17C,non_recreation,Kern
CA,Wf_43C,non_recreation,Kern
CA,Wf_45T,non_recreation,Kern
CA,Wf_48C,non_recreation,Kern
CA,Wf_55T,non_recreation,Kern
CA,Wf_5T,non_recreation,Kern
CA,Wf_67C,non_recreation,Kern
CA,Wf_85C,non_recreation,Kern
CA,Wf_97C,non_recreation,Kern
CA,Wf_98T,non_recreation,Kern
CA,Wf_52T,non_recreation,Kings
CA,Rx_0T,high_recreation,Lake
CA,Rx_8T,high_recreation,Lake
CA,Rx_15C,non_recreation,Lassen
CA,Rx_20C,non_recreation,Lassen
CA,Rx_22C,non_recreation,Lassen
CA,Rx_24C,non_recreation,Lassen
CA,Wf_10T,non_recreation,Lassen
CA,Wf_125C,non_recreation,Lassen
CA,Wf_127T,non_recreation,Lassen
CA,Wf_147T,non_recreation,Lassen
CA,Wf_21C,non_recreation,Lassen
CA,Wf_36C,non_recreation,Lassen
CA,Wf_57T,non_recreation,Lassen
CA,Wf_67T,non_recreation,Lassen
CA,Wf_68C,non_recreation,Lassen
CA,Wf_78T,non_recreation,Lassen
CA,Wf_8C,non_recreation,Lassen
CA,Wf_99T,non_recreation,Lassen
CA,Rx_40C,non_recreation,Los Angeles
CA,Rx_42T,non_recreation,Los Angeles
CA,Wf_103T,non_recreation,Los Angeles
CA,Wf_109C,non_recreation,Los Angeles
CA,Wf_110T,non_recreation,Los Angeles
CA,Wf_115T,non_recreation,Los Angeles
CA,Wf_119C,non_recreation,Los Angeles
CA,Wf_122T,non_recreation,Los Angeles
CA,Wf_134T,non_recreation,Los Angeles
CA,Wf_15C,non_recreation,Los Angeles
CA,Wf_17T,non_recreation,Los Angeles
CA,Wf_24C,non_recreation,Los Angeles
CA,Wf_38C,non_recreation,Los Angeles
CA,Wf_77T,non_recreation,Los Angeles
CA,Rx_11T,non_recreation,Madera
CA,Wf_118C,non_recreation,Madera
CA,Wf_155T,high_recreation,Marin
CA,Rx_10T,high_recreation,Mariposa
CA,Rx_9T,high_recreation,Mariposa
CA,Wf_101T,high_recreation,Mariposa
CA,Wf_117T,high_recreation,Mariposa
CA,Wf_121C,high_recreation,Mariposa
CA,Wf_131C,high_recreation,Mariposa
