Feature,category,source,temporal_resolution,spatial_resolution,units,transformation,notes
log_aud,Digital Mobility,AllTrails,monthly,Aggregated to site,log(1 + monthly user-days),log1p ,Monthly digital mobility proxy; log1p applied after monthly aggregation.
log_eud,Digital Mobility,Ebird,monthly,Aggregated to site,log(1 + monthly user-days),log1p ,Monthly digital mobility proxy; log1p applied after monthly aggregation.
log_pud,Digital Mobility,Flickr,monthly,Aggregated to site,log(1 + monthly user-days),log1p ,Monthly digital mobility proxy; log1p applied after monthly aggregation.
log_rud,Digital Mobility,Reveal,monthly,Aggregated to site,log(1 + monthly user-days),log1p ,Monthly digital mobility proxy; log1p applied after monthly aggregation.
rud_x_available,Digital Mobility,"Digital mobility proxies, aggregated monthly",monthly,Aggregated to site,0/1,,Availability flag used to avoid treating missing sources as true zeros.
has_mobility_data,Derived Mobility,"Digital mobility proxies, aggregated monthly",monthly,Aggregated to site,0/1,,Availability flag used to avoid treating missing sources as true zeros.
mobility_diversity,Derived Mobility,"Digital mobility proxies, aggregated monthly",monthly,Aggregated to site,,,
mobility_per_km2,Derived Mobility,"Digital mobility proxies, aggregated monthly",monthly,Aggregated to site,,ratio,
mobility_sources_active,Derived Mobility,"Digital mobility proxies, aggregated monthly",monthly,Aggregated to site,,,
mobility_total,Derived Mobility,"Digital mobility proxies, aggregated monthly",monthly,Aggregated to site,,,
summer_mobility,Derived Mobility,"Digital mobility proxies, aggregated monthly",monthly,Aggregated to site,,,
winter_mobility,Derived Mobility,"Digital mobility proxies, aggregated monthly",monthly,Aggregated to site,,,
access_mean,Infrastructure & Accessibility,https://figshare.com/articles/dataset/Travel_time_to_cities_and_ports_in_the_year_2015,static (per site),Per site polygon,minutes (estimated travel time to the closest major city),,"Nelson et al., 2019"
primroad_dist_mean,Infrastructure & Accessibility,Census TIGER/line - Roads (https://catalog.data.gov/dataset/census-tiger-line-roads1),static (per site),Per site polygon,km,,derived from Census TIGER/line Roads
road_density_mean,Infrastructure & Accessibility,Census TIGER/line - Roads (https://catalog.data.gov/dataset/census-tiger-line-roads1),static (per site),Per site polygon,km/km²,,derived from Census TIGER/line Roads
access_closed,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,PADUS
access_open,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,PADUS
access_restricted,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,PADUS
gap_status,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,GAP status ,,Majority GAP status (by overlap area) from PADUS.
is_blm,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,PADUS
is_federal,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,PADUS
is_fws,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,PADUS
is_nonfed,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,PADUS
is_nps,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,PADUS
is_usfs,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,PADUS
highly_protected,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,0/1,,"PADUS, GAP's 1 or 2"
iucn_cat,Management / Protection / Access,PADUS overlay,static (per site),Per site polygon,IUCN Category,,PADUS
has_biking,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_boating,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_camping,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_climbing,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_fishing,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_hiking,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_hunting,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_land_activities,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_picnic,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_rud_data,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_skiing,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_swimming,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_water_activities,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
has_wildlife_viewing,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,0/1,,Availability flag used to avoid treating missing sources as true zeros. Pulled from RIDB API.
total_activities,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,activities ,,activities alpha diversity
total_facilities,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,facilities ,,
unique_activities,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,activities,,
activity_beta,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,activities ,,activities beta diversity
log_activities,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,,log1p (if applicable),
log_facilities,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,,log1p (if applicable),
facility_density,Recreation amenities & activities (RIDB),RIDB recreation amenities/activities features,static (per site),Per site polygon,,density,
area_km2,Site geometry,Polygon geometry attributes (area) + transforms,static (per site),Per site polygon,km²,,
log_area_km2,Site geometry,Polygon geometry attributes (area) + transforms,static (per site),Per site polygon,km²,log1p,
sqrt_area_km2,Site geometry,Polygon geometry attributes (area) + transforms,static (per site),Per site polygon,km²,sqrt,
is_fall,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,0/1,,
is_peak_season,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,0/1,,
is_spring,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,0/1,,
is_summer,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,0/1,,
is_winter,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,0/1,,
month_cos,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,,sin/cos encoding,
month_sin,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,,sin/cos encoding,
month_squared,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,,,
year_centered,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,,,
log_month,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,,log1p (if applicable),
year_month_interaction,Time / Seasonality,Derived from panel time index (year/month),monthly,Per site polygon,,,
elev_mean,Topography,"Elevation & slope rasters (e.g., LANDFIRE/DEM-derived)",static (per site),Per site polygon,m,,Landfire
slope_mean,Topography,"Elevation & slope rasters (e.g., LANDFIRE/DEM-derived)",static (per site),Per site polygon,degrees,,Landfire
grass_pct_mean,Vegetation,Landfire percent cover rasters (tree/shrub/grass percent),static (per site),Per site polygon,,,2019 LandFire
shrub_pct_mean,Vegetation,Landfire percent cover rasters (tree/shrub/grass percent),static (per site),Per site polygon,,,2019 LandFire
tree_pct_mean,Vegetation,Landfire percent cover rasters (tree/shrub/grass percent),static (per site),Per site polygon,,,2019 LandFire
peak_dens_mean,Site Features,https://www.arcgis.com/home/item.html?id=6706f7e6712b4b479dcb4fce4b7b3172,static (per site),Per site polygon,"peaks per square kilometer, estimated using a ~200 km moving radius",,Calculated in ArcGIS Pro
log_river_km,Site Features,National Hydrography Dataset,static (per site),Per site polygon,km,log1p (if applicable),
river_km,Site Features,National Hydrography Dataset,static (per site),Per site polygon,km,,
water_km2,Site Features,National Hydrography Dataset,static (per site),Per site polygon,km²,,
log_water_km2,Site Features,National Hydrography Dataset,static (per site),Per site polygon,km²,log1p (if applicable),
trail_km,Site Features,National Digital Trails,static (per site),Per site polygon,km,,
log_trail_km,Site Features,National Digital Trails,static (per site),Per site polygon,km,log1p (if applicable),
trail_density_mean,Site Features,National Digital Trails,static (per site),Per site polygon,km/km²,,Calculated in ArcGIS Pro
cloud_cover,Weather / Climate,ERA5 via OpenMeteo Archive API (daily -> monthly aggregates) + derived monthly metrics,monthly (aggregated from daily),Sampled at site centroid,%,,
cooling_degree_days,Weather / Climate,ERA5 via OpenMeteo Archive API (daily -> monthly aggregates) + derived monthly metrics,monthly (aggregated from daily),Sampled at site centroid,days,,
frost_3mo_sum,Weather / Climate,ERA5 via OpenMeteo Archive API (daily -> monthly aggregates) + derived monthly metrics,monthly (3 month sum),Sampled at site centroid,days,,
frost_days,Weather / Climate,ERA5 via OpenMeteo Archive API (daily -> monthly aggregates) + derived monthly metrics,monthly (aggregated from daily),Sampled at site centroid,days,,
