state,fire_type,year,effect_pct,ci_lower,ci_upper,n_treated,n_control
CO,wildfire,0,0,0,0,44,40
CO,wildfire,1,-15.0918,-18.4836,-11.7001,44,40
CO,wildfire,2,-11.665,-14.9417,-8.38838,44,40
CO,wildfire,3,-9.8473,-13.2026,-6.49202,44,40
CO,wildfire,4,-7.44309,-11.537,-3.34917,44,40
CO,wildfire,5,-8.16083,-12.4977,-3.82399,44,40
CO,prescribed,0,0,0,0,22,22
CO,prescribed,1,5.126487,2.144128,8.108846,22,22
CO,prescribed,2,4.366049,1.452308,7.279791,22,22
CO,prescribed,3,-0.19921,-2.8844,2.485975,22,22
CO,prescribed,4,5.410523,2.383085,8.437961,22,22
CO,prescribed,5,4.502293,-1.39553,10.40012,22,22
CA,wildfire,0,0,0,0,141,142
CA,wildfire,1,-18.2562,-22.5285,-13.984,141,142
CA,wildfire,2,-15.3316,-19.7168,-10.9465,141,142
CA,wildfire,3,-14.4164,-18.804,-10.0288,141,142
CA,wildfire,4,-15.3592,-20.0746,-10.6438,141,142
CA,wildfire,5,-15.8576,-24.055,-7.66015,141,142
CA,prescribed,0,0,0,0,32,35
CA,prescribed,1,1.629396,-0.45032,3.709117,32,35
CA,prescribed,2,2.31856,0.186229,4.450892,32,35
CA,prescribed,3,3.990404,1.836658,6.14415,32,35
CA,prescribed,4,3.889722,1.255286,6.524159,32,35
CA,prescribed,5,4.345582,1.064941,7.626223,32,35
