state,fire_type,stratification,stratum,year,effect_pct,ci_lower,ci_upper,n_treated,n_control
CO,wildfire,size,small,0,0,0,0,12,40
CO,wildfire,size,small,1,-2.19647,-5.09101,0.698065,12,40
CO,wildfire,size,small,2,-2.16438,-5.01876,0.69001,12,40
CO,wildfire,size,small,3,-4.48721,-7.47743,-1.49699,12,40
CO,wildfire,size,small,4,0.291899,-2.88892,3.472717,12,40
CO,wildfire,size,small,5,-0.16735,-4.01737,3.682668,12,40
CO,wildfire,size,medium,0,0,0,0,14,40
CO,wildfire,size,medium,1,-6.34539,-9.39168,-3.29911,14,40
CO,wildfire,size,medium,2,-8.29063,-11.2079,-5.37332,14,40
CO,wildfire,size,medium,3,-11.5106,-14.713,-8.30812,14,40
CO,wildfire,size,medium,4,-12.0388,-15.531,-8.5465,14,40
CO,wildfire,size,medium,5,-5.92682,-9.64273,-2.21091,14,40
CO,wildfire,size,large,0,0,0,0,18,40
CO,wildfire,size,large,1,-24.1107,-29.621,-18.6003,18,40
CO,wildfire,size,large,2,-19.0475,-24.3068,-13.7883,18,40
CO,wildfire,size,large,3,-11.3843,-16.4056,-6.36291,18,40
CO,wildfire,size,large,4,-10.3161,-15.8799,-4.75224,18,40
CO,wildfire,size,large,5,-12.6858,-18.648,-6.72359,18,40
CO,wildfire,severity,low,0,0,0,0,31,40
CO,wildfire,severity,low,1,-7.40227,-10.9192,-3.88531,31,40
CO,wildfire,severity,low,2,-6.13977,-9.84573,-2.43382,31,40
CO,wildfire,severity,low,3,-9.05285,-13.0056,-5.1001,31,40
CO,wildfire,severity,low,4,-4.21431,-9.94457,1.515948,31,40
CO,wildfire,severity,low,5,-5.29837,-9.65853,-0.93822,31,40
CO,wildfire,severity,moderate,0,0,0,0,8,40
CO,wildfire,severity,moderate,1,-27.579,-35.7445,-19.4135,8,40
CO,wildfire,severity,moderate,2,-25.3252,-33.3098,-17.3405,8,40
CO,wildfire,severity,moderate,3,-14.0521,-21.3253,-6.77901,8,40
